,Post,Keyword
0,@USER_77a4822d @USER_2ff4faca okay:) lol. Saying ok to both of yall about to different things!:*,0
1,RT @USER_5d4d777a: YOURE A FAG FOR GETTING IN THE MIDDLE OF THIS @USER_ab059bdc WHO THE FUCK ARE YOU ? A FUCKING NOBODY !!!!&gt;&gt;Lol! Dayum! Aye!,0
2,@USER_77a4822d yea ok..well answer that cheap as Sweden phone you came up on when I call.,0
3,A sprite can disappear in her mouth - lil kim hmmmmm the can not the bottle right?,0
4,Lmao! I still get txt when AJ tweets before they even post (mistake) ha. And the one I just got has me dyin! @USER_a5b463b2 what's ur issue!,0
5,Alright twitters tryna take me over!,0
6,Just got to work. Got my pizza bagel and my raspberry iced tea:). Pulling up my systems..interview not til 2. I just wanna get it done!:D,0
7,Just got a txt from my cousin! Yes! So happy for you @USER_a9fe21e9 let's get it!,0
8,Why is this woman in the bathroom everytime I'm in the bathroom..!? Stinkn up allll the stalls! Ha.,0
9,@USER_d5d93fec shit they everywhere..,1
10,RT @USER_dc5e5498: Drop and give me 50....,0
11,I said u got a swisher from redmond!? He said nah kirkland! Lol..ooooooooOkay!,0
12,Lmao!:) havin a good ol time after work! Unexpected! #goodtimes,0
13,"RT @USER_d5d93fec: #letsbereal .. No seriously, #letsbereal&gt;&gt;lol. Don't start.",0
14,On my way to get @USER_60939380 yeee! She want some of this strawberry! Sexy!,0
15,Make sure ya frisk me good..check my panties and my bra..,0
16,RT @USER_d5d93fec: RT @USER_79321756: RT @USER_d5d93fec: Man I don't feel like gettin up &gt;&gt;just take a nap.--no I can do this&gt;&gt;Lol. Okay.,0
17,Ridin.,0
18,Oh I'm late,0
19,Ha just got home,0
20,Hey @USER_620cd4b9 I know I'm hella late but this is my first twEet of the day so feel special:). Lol. Hope your having a good day!,0
21,My phones been dead for all day. Got some txts and vms. My guys from work came through! Lovin my life for da most part:)! #thankful,0
22,"RT @USER_620cd4b9: @USER_79321756 I will boo, I'll just jump on her LOL&gt;&gt;k promise:(",0
23,Bout to check my work email again. Funn we had to do shift bids and today we got the results but I'm off..co workers hitn me to tell me,0
24,Yeeeee founf my letter. Now waiting for this phone call. I need some good news asap. Thinkin bout ladies night tonight..its been a while.,0
25,#LetsBeReal You miss me nigga! Lol.,0
26,I had a mimosa earlier:) and thought about @USER_dc5e5498 @USER_d35ae058,0
27,I'm really doing good. Ima stick to this. Well ima try my best. And I really am going to TRY. Not just say I'm tryin..,0
28,RT @USER_642c9c1b: RT @USER_9bc2644b: out of line. â¢ Very,0
29,RT @USER_3914673e: I have no damn discipline.&gt;&gt;Lol. #confess,0
